Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Benin,BEN,33.895538236797,35.7072279364283,37.9275228856872,37.8536888332144,37.9849795573281,40.8500042421158,43.6824815518081,47.1267848291208,44.0449483254035,50.9678815435726,57.0161029765121,60.3157968735896,67.0094915311709,63.4530358752498,69.0349321823627,72.2750910218262,73.4293818210034,77.9392492461344,84.3207336150836,85.6907931675002,92.9522502808153,89.0362087436436,90.4726326277866,93.9009945939025,97.1281349024065,..,..,..,..,..,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Bhutan,BTN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Bolivia,BOL,257.461957776239,271.501669245265,280.887518005133,303.002628806272,322.990614945536,341.772608736295,360.103622727558,378.734860897272,395.804090490469,409.1691815621,407.440958883959,408.754363667214,422.33188545065,429.925746722727,439.982339944353,469.213815190328,499.126920860561,530.215158819469,519.300815244591,537.541498293209,586.30946849687,617.915351368177,642.591741276973,682.934157682116,728.222906191974,..,..,..,..,..,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Bosnia and Herzegovina,BIH,2917.46675240471,2043.80521794444,1100.39689129108,732.187144700926,935.324652542441,979.329038292485,1085.02307337392,1277.99457871389,1610.42648477215,1653.49791741612,1822.29294028976,1851.7582644963,1873.3282361656,2008.48185016482,2109.65371748019,2197.69108103296,2212.61944670468,2236.84565091335,2843.23749705837,2785.89388176133,3068.15271649461,3270.51445015979,3413.37054965009,3402.29419893359,3360.89931639498,..,..,..,..,..,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Botswana,BWA,737.994176555043,819.218533606068,888.297628977367,882.194846067257,918.496565448035,890.755191969081,915.199324471659,978.785367498397,1043.6679613867,1022.13462382017,1099.60422354566,1164.63196608265,1210.49728988987,1293.47411382244,1405.53013982685,1392.11234954224,1422.19853331564,1463.66734333955,1472.11206982444,1658.86040828757,1483.02977916147,1419.84417327347,1646.57480722158,1978.10107708641,1677.5970015608,..,..,..,..,..,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Brazil,BRA,1444.2514290331,1469.85930187699,1478.33118741733,1522.14509040044,1551.69752515075,1619.45062422527,1672.631979251,1748.42336136535,1795.07923196638,1820.04593204693,1885.66546497112,1737.97615659531,1797.26816236679,1873.81236868275,1948.58174018788,2008.56721006521,2065.19220177374,2160.23263259907,2222.41579209327,2189.997777527,2366.38012019669,2422.57622111654,2492.83786417253,2560.09555974195,2610.99928167575,..,..,..,..,..,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Brunei Darussalam,BRN,4272.16639687242,4413.39954050248,4758.19707587162,5212.26638755519,5532.05336804426,6342.42402966262,6793.03452690434,7592.22898009355,7730.70291611485,7356.78576342705,7528.61412408737,7166.5864509843,7359.05693555861,8532.8136253866,8572.35595529059,8426.11605134204,8374.28381365207,8528.0978381404,8474.44405150715,8695.62989513491,8645.30757247136,8612.57366016946,9067.12178519258,9698.76269729076,10121.0590991129,..,..,..,..,..,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Bulgaria,BGR,4758.73190255565,4361.14451575101,3735.52545360956,3807.696906382,3825.38661571836,4211.12513140807,4350.44325925232,3970.13113944689,3932.40178442314,3613.36726660483,3673.60687143429,3859.09002487407,3853.8190041011,3997.90259625094,3971.82273619063,4165.18039235553,4366.91276515184,4523.32287831241,4674.5031505249,4483.7471386375,4560.41491703377,4863.69144110061,4761.9125833848,4639.70632261155,4708.92745757231,..,..,..,..,..,..,..
